number_wins,number_losses,number_pushes,number_blackjack,house_advantage_%,end_tokens,max_tokens,min_tokens,average_tokens,total_profit,total_bets,average_return_per_hand,end_tokens_without_card_counting,min_tokens_without_card_counting
467,468,85,36,0.0979431929480901,14450.0,15000.0,8225.0,12264.911851126346,4450.0,150200.0,0.0296271637816245,11700.0,8950.0
461,486,86,34,2.4177949709864603,12700.0,13600.0,8500.0,11325.145067698259,2700.0,146100.0,0.018480492813141684,9200.0,8050.0
448,491,91,45,4.1707080504364695,9150.0,11800.0,5550.0,8242.846750727449,-850.0,152400.0,-0.00557742782152231,7950.0,6600.0
473,469,82,32,-0.3902439024390244,17900.0,19700.0,9450.0,14978.073170731708,7900.0,174200.0,0.04535017221584386,12000.0,9500.0
470,465,83,35,-0.49067713444553485,15150.0,17750.0,8850.0,12999.362119725221,5150.0,151600.0,0.03397097625329815,12250.0,8650.0
471,452,106,37,-1.8446601941747571,16225.0,16525.0,9350.0,12365.946601941747,6225.0,123600.0,0.05036407766990291,13750.0,9000.0
460,480,80,42,1.9588638589618024,14175.0,22175.0,10000,16317.67874632713,4175.0,147750.0,0.02825719120135364,10100.0,9450.0
449,477,98,31,2.731707317073171,11975.0,13825.0,2200.0,8672.414634146342,1975.0,183450.0,0.01076587626056146,8750.0,5350.0
470,471,85,34,0.09737098344693282,14200.0,15200.0,3425.0,8516.699123661148,4200.0,173800.0,0.024165707710011506,11600.0,6300.0
458,487,81,32,2.8237585199610513,1925.0,10500,375.0,5829.62512171373,-8075.0,156300.0,-0.05166346769033909,8700.0,6850.0
452,487,80,30,3.431372549019608,8300.0,11300.0,6800.0,9025.245098039215,-1700.0,129500.0,-0.013127413127413128,8000.0,7400.0
474,470,78,35,-0.39100684261974583,16750.0,17350.0,8625.0,13303.323558162268,6750.0,140550.0,0.048025613660619,12150.0,9500
468,487,76,33,1.8410852713178296,16575.0,17775.0,7000.0,11114.098837209302,6575.0,152050.0,0.04324235448865505,9750.0,6950.0
456,478,90,34,2.1463414634146343,12150.0,13650.0,5950.0,9091.560975609756,2150.0,151200.0,0.014219576719576719,9500.0,8150.0
469,475,81,35,0.5847953216374269,12475.0,16700.0,8550.0,12427.168615984405,2475.0,162600.0,0.01522140221402214,11150.0,7600.0
469,472,90,35,0.29069767441860467,19050.0,19400.0,9250.0,13257.606589147286,9050.0,143800.0,0.0629346314325452,11450.0,6150.0
418,498,95,34,7.905138339920949,0.0,10300.0,0.0,4921.195652173913,-10000.0,142100.0,-0.07037297677691766,3700.0,3600.0
469,467,89,38,-0.1949317738791423,17350.0,18250.0,9675.0,14939.571150097467,7350.0,130500.0,0.05632183908045977,12100.0,9650.0
460,474,89,36,1.3671875,10600.0,12500.0,6300.0,9343.3837890625,600.0,147700.0,0.004062288422477996,10400.0,8250.0
